"filename", "language", "CSS", "JSON", "PHP", "JavaScript", "XML", "JSON with Comments", "JavaScript JSX", "Markdown", "comment", "blank", "total"
"c:\laragon\www\formation-doctorat\database\migrations\2024_01_24_153917_create_master_details_table.php", "PHP", 0, 0, 25, 0, 0, 0, 0, 0, 6, 4, 35
"c:\laragon\www\formation-doctorat\database\migrations\2024_01_26_190327_create_permission_tables.php", "PHP", 0, 0, 109, 0, 0, 0, 0, 0, 6, 24, 139
"c:\laragon\www\formation-doctorat\database\migrations\2024_01_26_194028_create_media_table.php", "PHP", 0, 0, 28, 0, 0, 0, 0, 0, 0, 5, 33
"c:\laragon\www\formation-doctorat\database\migrations\2024_02_23_145531_create_application_table.php", "PHP", 0, 0, 26, 0, 0, 0, 0, 0, 6, 4, 36
"c:\laragon\www\formation-doctorat\database\seeders\DatabaseSeeder.php", "PHP", 0, 0, 10, 0, 0, 0, 0, 0, 8, 5, 23
"c:\laragon\www\formation-doctorat\database\seeders\MainSeeder.php", "PHP", 0, 0, 138, 0, 0, 0, 0, 0, 7, 21, 166
"c:\laragon\www\formation-doctorat\jsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 10, 0, 0, 0, 1, 11
"c:\laragon\www\formation-doctorat\package-lock.json", "JSON", 0, 3731, 0, 0, 0, 0, 0, 0, 0, 1, 3732
"c:\laragon\www\formation-doctorat\package.json", "JSON", 0, 38, 0, 0, 0, 0, 0, 0, 0, 1, 39
"c:\laragon\www\formation-doctorat\phpunit.xml", "XML", 0, 0, 0, 0, 29, 0, 0, 0, 2, 1, 32
"c:\laragon\www\formation-doctorat\postcss.config.js", "JavaScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"c:\laragon\www\formation-doctorat\public\index.php", "PHP", 0, 0, 14, 0, 0, 0, 0, 0, 30, 12, 56
"c:\laragon\www\formation-doctorat\public\locales\ar\common.json", "JSON", 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\laragon\www\formation-doctorat\public\locales\ar\form.json", "JSON", 0, 147, 0, 0, 0, 0, 0, 0, 0, 3, 150
"c:\laragon\www\formation-doctorat\public\locales\en\common.json", "JSON", 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\laragon\www\formation-doctorat\public\locales\en\form.json", "JSON", 0, 147, 0, 0, 0, 0, 0, 0, 0, 1, 148
"c:\laragon\www\formation-doctorat\public\locales\fr\common.json", "JSON", 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\laragon\www\formation-doctorat\public\locales\fr\form.json", "JSON", 0, 147, 0, 0, 0, 0, 0, 0, 0, 2, 149
"c:\laragon\www\formation-doctorat\resources\css\app.css", "CSS", 6, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\laragon\www\formation-doctorat\resources\js\Components\AlertMessage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 9, 0, 0, 3, 12
"c:\laragon\www\formation-doctorat\resources\js\Components\ApplicationLogo.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 7, 0, 0, 1, 8
"c:\laragon\www\formation-doctorat\resources\js\Components\Checkbox.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 12, 0, 0, 1, 13
"c:\laragon\www\formation-doctorat\resources\js\Components\ContentSections.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 81, 0, 2, 4, 87
"c:\laragon\www\formation-doctorat\resources\js\Components\DangerButton.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 15, 0, 0, 1, 16
"c:\laragon\www\formation-doctorat\resources\js\Components\Dropdown.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 75, 0, 0, 17, 92
"c:\laragon\www\formation-doctorat\resources\js\Components\FileInput.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 18, 0, 0, 3, 21
"c:\laragon\www\formation-doctorat\resources\js\Components\Footer.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 59, 0, 6, 4, 69
"c:\laragon\www\formation-doctorat\resources\js\Components\Header.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 12, 0, 0, 3, 15
"c:\laragon\www\formation-doctorat\resources\js\Components\Hero.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 33, 0, 1, 3, 37
"c:\laragon\www\formation-doctorat\resources\js\Components\Input.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 25, 0, 0, 3, 28
"c:\laragon\www\formation-doctorat\resources\js\Components\InputError.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 7, 0, 0, 1, 8
"c:\laragon\www\formation-doctorat\resources\js\Components\InputLabel.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 17, 0, 0, 1, 18
"c:\laragon\www\formation-doctorat\resources\js\Components\LanguagePicker.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 68, 0, 1, 7, 76
"c:\laragon\www\formation-doctorat\resources\js\Components\Loader.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 37, 0, 0, 3, 40
